ip	asn	bgp_prefix	cc	registry	allocated	as_org
4.227.7.137	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.15.45	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.15.66	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.16.106	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.16.140	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.18.48	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.19.67	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.19.227	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.20.62	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.23.54	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.82.253	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.83.56	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.83.77	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.83.156	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.85.197	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.86.70	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.87.135	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.88.49	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.89.116	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.90.84	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.93.186	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.93.190	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.95.45	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.103.102	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.104.63	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.106.5	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.106.87	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.107.231	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.108.14	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.109.121	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.110.34	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.110.168	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.110.221	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.115.216	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.118.179	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.120.58	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.120.88	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.121.32	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.121.131	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.123.99	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.124.20	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.124.72	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.125.65	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.125.155	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.236.123.146	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.236.125.10	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.236.127.208	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.223.181	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.225.67	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.230.91	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.230.220	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.234.237	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.235.219	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.236.9	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.238.19	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.238.194	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.238.216	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.239.201	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242.242.226	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.64.194	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.65.27	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.66.12	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.113.0	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.113.3	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.114.13	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246.114.90	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.255.136.109	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.255.136.110	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.255.136.113	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.255.149.156	8075	4.240.0.0/12	US	arin	2021-04-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
