host,alias,short_url,status,location,sources,labels,first_seen,api_status,api_body
da.gd,CiQJ,https://da.gd/CiQJ,,,vanderbi.lt-referrer,,2026-06-18 11:53:31,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FSECcountyM&jq=%5B.regCF_county_2020%5B%5D%7Cselect%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%7C%5B.code%2C%28%28.usd%2F10%29%7Cround%2F100%29%5D%5D 
da.gd,CtIS,https://da.gd/CtIS,,,vanderbi.lt-referrer,,2026-06-18 13:52:45,200,https://jqp.vercel.app/api/v0?jq=%5B.regCF_county_2021%5B%5D%7Cselect%28.code%7Cstartswith%28%22us-ma-%22%29%29%5D&url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json 
da.gd,DAvoC,https://da.gd/DAvoC,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7Bsrc%3A%22https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%22%2Cy%3A2019%2Cd%3A.regCF_county_2019%5B46%3A52%5D%7D 
da.gd,DdWj3,https://da.gd/DdWj3,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%5B.regCF_county_2019%5B%5D%7Cselect%28.code%7Ctest%28%22ma%22%29%29%7C%5B.code%2C%28%28.usd%2F10%7Cround%29%2F100%29%5D%5D 
da.gd,Do4ET,https://da.gd/Do4ET,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7By2020%3A.regCF_county_2020%7Cmap%28select%28.code%7Ctest%28%22ma%22%29%29%29%7D 
da.gd,E5Ivm,https://da.gd/E5Ivm,,,vanderbi.lt-referrer,,2026-05-25 07:25:43,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%253A%252F%252Fwww.sec.gov%252Ffiles%252Fcounty.json&jq=.regCF_county_2021%5B82%3A91%5D 
da.gd,EVC2M6,https://da.gd/EVC2M6,,,vanderbi.lt-referrer,,2026-06-18 15:04:54,200,https://allorigins.hexlet.app/raw?url=https://www.sec.gov/files/county.json?format=json 
da.gd,FNJj,https://da.gd/FNJj,,,vanderbi.lt-referrer,,2026-06-18 13:25:58,200,https://md.succ.ai/www.sec.gov/files/county.json?mode=fit&max_tokens=8000 
da.gd,FWLiaa,https://da.gd/FWLiaa,302,https://public.tableau.com/views/Mediangrossrent_16802708766830/Mediangrossrent.csv?:showVizHome=no&Location=Chittenden%20County&Year=2023,wiki-db,RentResearchSep26;[Person8],2026-06-04T17:30:39Z,200,https://public.tableau.com/views/Mediangrossrent_16802708766830/Mediangrossrent.csv?:showVizHome=no&Location=Chittenden%20County&Year=2023 
da.gd,Fa7gX,https://da.gd/Fa7gX,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FJ7cAQ&jq=%7Bs%3A.status.url%2Cy%3A2020%2Ce%3A%28.contents%7Cfromjson%7C%5B.regCF_county_2020%5B%5D%7Cselect%28.code%7Ctest%28%22ma%22%29%29%7C%7Bc%3A.code%2Cu%3A.usd%7D%5D%29%7D 
