Bulk mode; whois.cymru.com [2026-09-07 00:42:33 +0000]
8075    | 20.165.140.222   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.143.73    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.155.247   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.165.66    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.181.112   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.183.234   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.195.145   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.195.85    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.219.100   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.230.107   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.165.234.64    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.176.126   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.36.194    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.44.214    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.56.215    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.62.99     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.76.211    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.168.77.252    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.169.30.14     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.169.42.231    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.169.9.233     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.115.110   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.136.159   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.140.126   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.141.118   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.250.22    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.255.136   | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.61.131    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.61.173    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.64.1      | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.66.73     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.67.223    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.94.12     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.97.125    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.171.98.238    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.3.211     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.4.204     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.4.45      | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.43.127    | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.43.66     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.5.217     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.5.232     | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.172.5.92      | 20.160.0.0/12       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.188.65.43     | 20.184.0.0/13       | US | arin     | 2017-02-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.221.201.112   | 20.192.0.0/10       | US | arin     | 2017-10-18 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.221.201.15    | 20.192.0.0/10       | US | arin     | 2017-10-18 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.225.136.226   | 20.192.0.0/10       | US | arin     | 2017-10-18 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.225.138.215   | 20.192.0.0/10       | US | arin     | 2017-10-18 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
