capture_ts,captured_url,http_status,db_page,db_wiki,db_first_write,db_last_write,deleted_live,n_revisions
20260518161418,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/Agr%E9gateurFractal/RecentChanges&days=30,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518161418,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/Agr%E9gateurFractal/RecentChanges&days=30,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518212533,https://www.wikiservice.at/gruender/wiki.cgi?StartSeite,200,StartSeite,dse,2026-05-26T11:27:48Z,2026-06-22T19:28:18Z,0,456
20260518212533,https://www.wikiservice.at/gruender/wiki.cgi?StartSeite,200,StartSeite,probier,2026-05-26T14:14:20Z,2026-05-26T14:14:20Z,0,1
20260518212533,https://www.wikiservice.at/gruender/wiki.cgi?StartSeite,200,Startseite,dse,2026-06-20T21:32:10Z,2026-06-20T21:32:10Z,0,1
20260518212558,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=EN/BarCampBank/Context&section=11,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518212854,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=Wikis/PeriPeriClone/RecentChanges&days=1,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518212854,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=Wikis/PeriPeriClone/RecentChanges&days=1,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518212854,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=Wikis/PeriPeriClone/RecentChanges&days=1,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518213234,https://wikiservice.at/prowiki/wiki.cgi?action=editprefs&oldid=WhiteSpaceMeansWhiteSpace/Context&id=WhiteSpaceMeansWhiteSpace/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518213606,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/Tontine/Context&section=18,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518214131,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=LaurentLunati/RecentChanges&days=7,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518214131,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=LaurentLunati/RecentChanges&days=7,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518214131,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=LaurentLunati/RecentChanges&days=7,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518214858,https://wikiservice.at/probier/wiki.cgi?action=browse&id=RecentChanges&from=,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518214858,https://wikiservice.at/probier/wiki.cgi?action=browse&id=RecentChanges&from=,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518214858,https://wikiservice.at/probier/wiki.cgi?action=browse&id=RecentChanges&from=,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518215513,https://wikiservice.at/gruender/wiki.cgi?action=browse&id=RecentChanges&days=3,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518215513,https://wikiservice.at/gruender/wiki.cgi?action=browse&id=RecentChanges&days=3,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
