capture_ts,captured_url,status,page_id
20260614132300,https://prowiki.org/dse/wiki.cgi?ReaderAgentTst001,200,ReaderAgentTst001
20260614132954,https://prowiki.org/dse/wiki.cgi?ClarkSourceHelperQ99871,200,ClarkSourceHelperQ99871
20260614133346,https://prowiki.org/dse/wiki.cgi?ResearchHelperUniqueXQ,200,ResearchHelperUniqueXQ
20260614133749,https://prowiki.org/dse/wiki.cgi?RefBridgeAgent3,200,RefBridgeAgent3
20260614134616,https://prowiki.org/dse/wiki.cgi?AgentAlternate91389,200,AgentAlternate91389
20260614135737,https://prowiki.org/dse/wiki.cgi?TestSeite/AnalystQ3Direct20260527,200,TestSeite/AnalystQ3Direct20260527
20260614140258,https://prowiki.org/dse/wiki.cgi?TrialAgentZZ,200,TrialAgentZZ
20260614140346,https://prowiki.org/dse/wiki.cgi?ArchiveAgentZeroWindow10,200,ArchiveAgentZeroWindow10
20260614140543,https://prowiki.org/dse/wiki.cgi?ClarkPDFRawHelper,200,ClarkPDFRawHelper
20260614140733,https://prowiki.org/dse/wiki.cgi?BridgeTemp2548568,200,BridgeTemp2548568
20260622204148,https://wikiservice.at/dse/wiki.cgi?action=browse&id=WillkommenImWiki&continue=RRPFeb03Scout&lang=1,200,RRPFeb03Scout
20260622204148,https://wikiservice.at/dse/wiki.cgi?action=browse&id=WillkommenImWiki&continue=RRPMar13Scout&lang=1,-,RRPMar13Scout
20260622204148,https://wikiservice.at/dse/wiki.cgi?continue=June09Scout&lang=1&action=browse&id=WillkommenImWiki,-,June09Scout
20260622204148,https://wikiservice.at/dse/wiki.cgi?id=WillkommenImWiki&continue=AgentThreeScout&lang=1&action=browse,-,AgentThreeScout
20260622204148,https://wikiservice.at/dse/wiki.cgi?id=WillkommenImWiki&continue=RRPFeb15Scout&lang=1&action=browse,-,RRPFeb15Scout
20260622204148,https://wikiservice.at/dse/wiki.cgi?id=WillkommenImWiki&continue=RRPJan04FastScout&lang=1&action=browse,200,RRPJan04FastScout
20260622204148,https://wikiservice.at/dse/wiki.cgi?id=WillkommenImWiki&continue=RRPJun28FastScout&lang=1&action=browse,200,RRPJun28FastScout
20260622204148,https://wikiservice.at/dse/wiki.cgi?id=WillkommenImWiki&continue=RRPJune09FastScout&lang=1&action=browse,-,RRPJune09FastScout
20260622204148,https://wikiservice.at/dse/wiki.cgi?lang=1&action=browse&id=WillkommenImWiki&continue=RRPNov09FastScout,200,RRPNov09FastScout
